,time [s],voltage [V],current [A]
0,947.614624,-0.132087,-9.16421e-06
1,947.622803,-0.132037,-7.812272e-06
2,947.63092,-0.132096,-5.986631e-06
3,947.639038,-0.132229,-1.485941e-05
4,947.647156,-0.132354,-2.272767e-05
5,947.655334,-0.132449,-2.470119e-05
6,947.663452,-0.132474,-2.160643e-05
7,947.67157,-0.132506,-2.733757e-05
8,0.007583,-0.049963,5.470175e-05
9,0.015167,-0.050766,5.470175e-05
10,0.02275,-0.051466,5.470175e-05
11,0.030333,-0.052265,5.470175e-05
12,0.037917,-0.052962,5.470175e-05
13,0.0455,-0.0538,5.470175e-05
14,0.053083,-0.054515,5.470175e-05
15,0.060667,-0.055292,5.470175e-05
16,0.06825,-0.056016,5.470175e-05
17,0.075833,-0.056791,5.470175e-05
18,0.083417,-0.057523,5.470175e-05
19,0.091,-0.058332,5.470175e-05
20,0.098583,-0.059076,5.470175e-05
21,0.106167,-0.059818,5.470175e-05
22,0.11375,-0.060583,5.470175e-05
23,0.121333,-0.061311,5.470175e-05
24,0.128917,-0.062093,5.470175e-05
25,0.1365,-0.062842,5.470175e-05
26,0.144083,-0.063655,5.470175e-05
27,0.151667,-0.064335,5.470175e-05
28,0.15925,-0.065166,5.470175e-05
29,0.166833,-0.065822,5.470175e-05
30,0.174417,-0.066675,5.470175e-05
31,0.182,-0.067359,5.470175e-05
32,0.189583,-0.068221,5.470175e-05
33,0.197167,-0.068842,0.000547
34,0.20475,-0.069714,0.000547
35,0.212333,-0.070338,0.000547
36,0.219917,-0.071248,0.000547
37,0.2275,-0.07186,0.000547
38,0.235083,-0.07281,0.000547
39,0.242667,-0.073338,0.000259
40,0.25025,-0.07433,4.285038e-05
41,0.257833,-0.074814,-5.801658e-06
42,0.265417,-0.075843,-0.000138
43,0.273,-0.076374,-0.000294
44,0.280583,-0.077355,-0.000546
45,0.288167,-0.077912,-0.000546
46,0.29575,-0.078802,-0.000546
47,0.303333,-0.079458,-0.000546
48,0.310917,-0.080236,-0.000546
49,0.3185,-0.081041,-0.000546
50,0.326083,-0.081747,-0.000546
51,0.333667,-0.082561,-0.000546
52,0.34125,-0.083223,-0.000546
53,0.348833,-0.084067,-0.000546
54,0.356417,-0.084702,-0.000546
55,0.364,-0.085633,-0.000546
56,0.371583,-0.086243,-0.000546
