,index,datapoints [#],time [s],frequency [Hz],Z_real [Ohm],Z_imag [Ohm],Z_sig [V],Zmod [ohm],Z_phz [°C],I_DC [A],V_DC [V],IE_Range [#]
0,,1.0,50000.05,50097.65625,0.007606,0.001259,0.00771,9.39911,,,,
1,,2.0,44562.591469,44589.84375,0.007584,0.001096,0.007663,8.225552,,,,
2,,3.0,39716.451453,39785.15625,0.007555,0.000943,0.007614,7.111289,,,,
3,,4.0,35397.324616,35449.21875,0.007527,0.000773,0.007567,5.866153,,,,
4,,5.0,31547.898772,31582.03125,0.007526,0.000588,0.007549,4.468447,,,,
5,,6.0,28117.094377,28183.59375,0.007528,0.000406,0.007539,3.084279,,,,
6,,7.0,25059.386741,25136.71875,0.007582,0.000238,0.007586,1.796316,,,,
7,,8.0,22334.201942,22441.40625,0.007651,9.835238e-05,0.007651,0.736523,,,,
8,,9.0,19905.378433,19980.46875,0.007756,2.630927e-05,0.007756,0.194355,,,,
9,,10.0,17740.687202,17753.90625,0.007809,-4.785662e-05,0.007809,-0.351121,,,,
10,,11.0,15811.404112,15878.90625,0.00787,-0.000101,0.00787,-0.735214,,,,
11,,12.0,14091.928748,14121.09375,0.007918,-0.000145,0.007919,-1.048031,,,,
12,,13.0,12559.444717,12597.65625,0.007967,-0.000188,0.00797,-1.352693,,,,
13,,14.0,11193.616886,11168.981445,0.008008,-0.000224,0.008011,-1.599489,,,,
14,,15.0,9976.321551,10019.53125,0.008042,-0.000259,0.008046,-1.844765,,,,
15,,16.0,8891.405942,8854.166992,0.008078,-0.000293,0.008084,-2.074521,,,,
16,,17.0,7924.473887,7928.240723,0.008111,-0.000325,0.008117,-2.293187,,,,
17,,18.0,7062.694786,7089.84375,0.008143,-0.000355,0.008151,-2.497872,,,,
18,,19.0,6294.633354,6307.870605,0.008173,-0.000387,0.008182,-2.708237,,,,
19,,20.0,5610.097882,5613.425781,0.00821,-0.000417,0.008221,-2.907628,,,,
20,,21.0,5000.005,4973.323242,0.008248,-0.000447,0.00826,-3.101585,,,,
21,,22.0,4456.259147,4456.018555,0.008279,-0.000477,0.008292,-3.295929,,,,
22,,23.0,3971.645145,3993.055664,0.008312,-0.000505,0.008327,-3.475675,,,,
23,,24.0,3539.732462,3530.092529,0.008349,-0.000539,0.008367,-3.696574,,,,
24,,25.0,3154.789877,3144.054932,0.008385,-0.000572,0.008405,-3.899645,,,,
25,,26.0,2811.709438,2801.067139,0.008425,-0.000608,0.008447,-4.125577,,,,
26,,27.0,2505.938674,2519.53125,0.008462,-0.000639,0.008486,-4.316567,,,,
27,,28.0,2233.420194,2229.420654,0.008506,-0.000677,0.008533,-4.549566,,,,
28,,29.0,1990.537843,2000.762207,0.008547,-0.000712,0.008576,-4.762669,,,,
29,,30.0,1774.06872,1772.103638,0.008596,-0.000754,0.008629,-5.012924,,,,
30,,31.0,1581.140411,1582.03125,0.008645,-0.000794,0.008681,-5.247153,,,,
31,,32.0,1409.192875,1411.897583,0.008696,-0.000837,0.008736,-5.500865,,,,
32,,33.0,1255.944472,1253.633667,0.008753,-0.000883,0.008797,-5.757863,,,,
33,,34.0,1119.361689,1118.60791,0.008813,-0.000928,0.008862,-6.011027,,,,
34,,35.0,997.632155,1000.702271,0.008872,-0.000973,0.008925,-6.258225,,,,
35,,36.0,889.140594,885.416687,0.008944,-0.001024,0.009002,-6.530826,,,,
36,,37.0,792.447389,790.028076,0.009015,-0.001075,0.009079,-6.799382,,,,
37,,38.0,706.269479,708.575562,0.009093,-0.00112,0.009162,-7.022162,,,,
38,,39.0,629.463335,628.810974,0.009175,-0.001167,0.009249,-7.246225,,,,
39,,40.0,561.009788,560.461975,0.009264,-0.001216,0.009344,-7.475149,,,,
40,,41.0,500.0005,502.232147,0.009347,-0.001273,0.009434,-7.756383,,,,
41,,42.0,445.625915,444.078949,0.009453,-0.001326,0.009546,-7.982177,,,,
42,,43.0,397.164515,395.331329,0.009555,-0.001374,0.009654,-8.182472,,,,
43,,44.0,353.973246,352.822571,0.009662,-0.001428,0.009767,-8.407248,,,,
44,,45.0,315.478988,315.504822,0.00977,-0.001471,0.00988,-8.560037,,,,
45,,46.0,281.170944,282.379517,0.009883,-0.001519,0.009999,-8.737241,,,,
46,,47.0,250.593867,249.335114,0.010023,-0.001563,0.010144,-8.862971,,,,
47,,48.0,223.342019,223.214279,0.010143,-0.001604,0.010269,-8.987411,,,,
48,,49.0,199.053784,198.622879,0.010275,-0.001642,0.010406,-9.081372,,,,
49,,50.0,177.406872,177.556824,0.010413,-0.001678,0.010547,-9.152205,,,,
50,,51.0,158.114041,158.005615,0.010558,-0.001696,0.010693,-9.128421,,,,
51,,52.0,140.919287,140.625,0.010713,-0.001735,0.010853,-9.200744,,,,
52,,53.0,125.594447,125.558037,0.010862,-0.001752,0.011002,-9.164952,,,,
53,,54.0,111.936169,111.60714,0.011023,-0.001757,0.011162,-9.056945,,,,
54,,55.0,99.763216,99.734039,0.011181,-0.001759,0.011318,-8.943044,,,,
