,time [s],voltage [V],current [A]
0,824.801331,-0.130374,-1.232628e-05
1,824.809448,-0.130445,-1.486318e-05
2,824.817566,-0.130591,-2.309912e-05
3,824.825745,-0.130745,-2.638146e-05
4,824.833862,-0.130815,-3.303481e-05
5,824.84198,-0.130766,-2.999192e-05
6,824.850098,-0.130707,-2.4699e-05
7,0.007583,-0.050005,5.470175e-05
8,0.015167,-0.050723,5.470175e-05
9,0.02275,-0.0515,5.470175e-05
10,0.030333,-0.052229,5.470175e-05
11,0.037917,-0.052986,5.470175e-05
12,0.0455,-0.05379,5.470175e-05
13,0.053083,-0.054532,5.470175e-05
14,0.060667,-0.055288,5.470175e-05
15,0.06825,-0.056021,5.470175e-05
16,0.075833,-0.056794,5.470175e-05
17,0.083417,-0.057517,5.470175e-05
18,0.091,-0.058352,5.470175e-05
19,0.098583,-0.059056,5.470175e-05
20,0.106167,-0.059867,5.470175e-05
21,0.11375,-0.060535,5.470175e-05
22,0.121333,-0.061374,5.470175e-05
23,0.128917,-0.062021,5.470175e-05
24,0.1365,-0.062939,5.470175e-05
25,0.144083,-0.063568,5.470175e-05
26,0.151667,-0.06444,5.470175e-05
27,0.15925,-0.06506,5.470175e-05
28,0.166833,-0.065925,5.470175e-05
29,0.174417,-0.066571,0.000547
30,0.182,-0.067468,0.000547
31,0.189583,-0.068118,0.000547
32,0.197167,-0.068958,0.000547
33,0.20475,-0.069624,0.000547
34,0.212333,-0.07044,0.000547
35,0.219917,-0.071127,0.000547
36,0.2275,-0.071997,0.000547
37,0.235083,-0.072684,0.000547
38,0.242667,-0.073481,0.000547
39,0.25025,-0.074185,0.000547
40,0.257833,-0.074984,0.000307
41,0.265417,-0.075705,6.258656e-06
42,0.273,-0.076514,0.000127
43,0.280583,-0.077285,-0.000222
44,0.288167,-0.077975,-2.862706e-05
45,0.29575,-0.078818,-0.000366
46,0.303333,-0.07942,-0.000546
47,0.310917,-0.080343,-0.000546
48,0.3185,-0.080934,-0.000546
49,0.326083,-0.081896,-0.000546
50,0.333667,-0.082424,-0.000546
51,0.34125,-0.083393,-0.000546
52,0.348833,-0.083923,-0.000546
53,0.356417,-0.084874,-0.000546
54,0.364,-0.085481,-0.000546
55,0.371583,-0.086402,-0.000546
56,0.379167,-0.086989,-0.000546
57,0.38675,-0.087891,-0.000546
58,0.394333,-0.088506,-0.000546
59,0.401917,-0.089374,-0.000546
60,0.4095,-0.090073,-0.000546
61,0.417083,-0.090905,-0.000546
62,0.424667,-0.09159,-0.000546
63,0.43225,-0.092385,-0.000546
64,0.439833,-0.093102,-0.000546
65,0.447417,-0.093855,-0.000546
66,0.455,-0.094675,-0.000546
67,0.462583,-0.09539,-0.000546
68,0.470167,-0.09619,-0.000546
69,0.47775,-0.096881,-0.000546
70,0.485333,-0.097698,-0.000546
