,index,datapoints [#],time [s],frequency [Hz],Z_real [Ohm],Z_imag [Ohm],Z_sig [V],Zmod [ohm],Z_phz [°C],I_DC [A],V_DC [V],IE_Range [#]
0,,1.0,50000.05,50097.65625,0.007706,0.001277,0.007811,9.410186,,,,
1,,2.0,44562.591469,44589.84375,0.007683,0.001118,0.007764,8.276738,,,,
2,,3.0,39716.451453,39785.15625,0.007652,0.000963,0.007712,7.176618,,,,
3,,4.0,35397.324616,35449.21875,0.007618,0.000795,0.007659,5.955873,,,,
4,,5.0,31547.898772,31582.03125,0.007599,0.000611,0.007624,4.600623,,,,
5,,6.0,28117.094377,28183.59375,0.007614,0.000427,0.007626,3.210455,,,,
6,,7.0,25059.386741,25136.71875,0.007669,0.000257,0.007674,1.918477,,,,
7,,8.0,22334.201942,22441.40625,0.007736,0.000116,0.007736,0.859401,,,,
8,,9.0,19905.378433,19980.46875,0.007842,4.210266e-05,0.007843,0.307593,,,,
9,,10.0,17740.687202,17753.90625,0.007897,-3.225662e-05,0.007897,-0.23404,,,,
10,,11.0,15811.404112,15878.90625,0.007961,-8.282885e-05,0.007962,-0.59608,,,,
11,,12.0,14091.928748,14121.09375,0.008013,-0.000139,0.008015,-0.995738,,,,
12,,13.0,12559.444717,12597.65625,0.008055,-0.000166,0.008057,-1.182334,,,,
13,,14.0,11193.616886,11168.981445,0.008095,-0.000203,0.008098,-1.435238,,,,
14,,15.0,9976.321551,10019.53125,0.008124,-0.000228,0.008127,-1.605506,,,,
15,,16.0,8891.405942,8854.166992,0.008162,-0.000273,0.008167,-1.916423,,,,
16,,17.0,7924.473887,7928.240723,0.008193,-0.000299,0.008198,-2.091284,,,,
17,,18.0,7062.694786,7089.84375,0.008222,-0.000326,0.008229,-2.272356,,,,
18,,19.0,6294.633354,6307.870605,0.008254,-0.000355,0.008262,-2.465709,,,,
19,,20.0,5610.097882,5613.425781,0.008284,-0.000381,0.008292,-2.63406,,,,
20,,21.0,5000.005,4973.323242,0.008321,-0.000412,0.008331,-2.836825,,,,
21,,22.0,4456.259147,4456.018555,0.00835,-0.000442,0.008362,-3.031765,,,,
22,,23.0,3971.645145,3993.055664,0.008379,-0.000466,0.008392,-3.186729,,,,
23,,24.0,3539.732462,3530.092529,0.008411,-0.000501,0.008426,-3.407145,,,,
24,,25.0,3154.789877,3144.054932,0.008444,-0.000533,0.008461,-3.61133,,,,
25,,26.0,2811.709438,2801.067139,0.008478,-0.000567,0.008497,-3.827442,,,,
26,,27.0,2505.938674,2519.53125,0.008509,-0.000598,0.00853,-4.016928,,,,
27,,28.0,2233.420194,2229.420654,0.008548,-0.000637,0.008572,-4.258664,,,,
28,,29.0,1990.537843,2000.762207,0.008588,-0.000674,0.008614,-4.490665,,,,
29,,30.0,1774.06872,1772.103638,0.00863,-0.000715,0.00866,-4.736657,,,,
30,,31.0,1581.140411,1582.03125,0.008675,-0.000756,0.008708,-4.98294,,,,
31,,32.0,1409.192875,1411.897583,0.00872,-0.0008,0.008756,-5.243541,,,,
32,,33.0,1255.944472,1253.633667,0.008773,-0.000851,0.008814,-5.541335,,,,
33,,34.0,1119.361689,1118.60791,0.008823,-0.0009,0.008869,-5.824235,,,,
34,,35.0,997.632155,1000.702271,0.008878,-0.000952,0.008929,-6.122594,,,,
